Avellino,Benevento,Caserta,Napoli,Salerno
17.8,17.2,18.3,42,18.7
14.8,18.7,11.4,203.5,12.4
23.3,22,10.4,313.7,16.4
24.3,20.4,16.1,288,4,21.4
