Avellino Alighieri,Benevento Campo sportivo,Caserta De Amicis,Napoli Via Argine,Salerno Mercatello
1,0.8,2.9,1.6,0.5
1,105.3,3.2,9.2,2.1
0.9,18.4,2.2,2.9,2
1,1.2,3.2,2.4,2.1
