Avellino,Benevento,Caserta,Napoli,Salerno
37.2,28.3,50.6,66.8,19.3
41.7,42.4,46.1,384.4,39.6
50.6,40.6,39.2,479.2,50.3
51.2,67,48.7,288.4,29.6
	
